id,date,scan_mode,pair,direction,entry,stop_loss,t2_price,confidence,eff_conf,grade,da_grade_before,rr,mtf_agreeing_count,dd_mode,conf_threshold,status,opened_at,closed_at,exit_price,pips,net_pips,notes
14,2026-09-07,prelondon,EUR/AUD,BUY,1.6147,1.6068,1.6305,8,7,C,B,2.0,3,normal,5.5,OPEN,2026-09-07 05:19:39,,,,,
15,2026-09-07,preny,NZD/JPY,BUY,91.601,90.501,93.801,8,8,D,C,2.0,2,normal,6.0,LOSS,2026-09-07 11:18:36,2026-09-07 21:01:36,90.501,-110.0,-113.7,
16,2026-09-07,preny,GBP/AUD,BUY,1.8785,1.8685,1.8985,7,6,F,F,2.0,3,normal,6.0,OPEN,2026-09-07 11:18:37,,,,,
17,2026-09-08,london,EUR/JPY,BUY,181.005,179.577,183.861,8,8,C,B,2.0,3,normal,6.5,LOSS,2026-09-07 13:42:05,2026-09-07 14:31:33,179.577,-142.8,-146.8,
18,2026-09-08,london,USD/JPY,BUY,155.66,154.03,158.92,8,8,C,B,2.0,3,normal,6.5,LOSS,2026-09-07 13:42:05,2026-09-07 23:31:57,154.03,-163.0,-164.5,
19,2026-09-08,london,CAD/JPY,BUY,112.88,111.89,114.86,7,7,C,C,2.0,2,normal,6.0,LOSS,2026-09-07 13:42:05,2026-09-07 14:31:33,111.89,-99.0,-103.0,
20,2026-09-08,london,EUR/AUD,BUY,1.6147,1.6068,1.6305,8,8,B,B,2.0,3,normal,6.5,OPEN,2026-09-07 13:42:05,,,,,
21,2026-09-08,london,AUD/NZD,SELL,1.2236,1.239,1.1928,8,8,C,B,2.0,3,caution,6.5,OPEN,2026-09-07 13:42:05,,,,,
22,2026-09-08,london,GBP/AUD,BUY,1.8785,1.8685,1.8985,7,6,F,F,2.0,3,normal,6.0,OPEN,2026-09-07 13:42:05,,,,,
23,2026-09-08,prelondon,AUD/CHF,SELL,0.5836,0.591,0.5688,8,8,F,F,2.0,3,caution,6.5,OPEN,2026-09-08 05:18:55,,,,,
24,2026-09-08,prelondon,GBP/JPY,BUY,210.5,209.34,212.82,7,7,D,C,2.0,2,caution,6.5,LOSS,2026-09-08 05:18:55,2026-09-08 05:31:20,209.34,-116.0,-120.0,
25,2026-09-08,prelondon,CHF/JPY,BUY,192.84,189.95,198.62,8,8,C,B,2.0,3,normal,6.5,LOSS,2026-09-08 05:18:55,2026-09-08 05:31:20,189.95,-289.0,-293.0,
26,2026-09-08,preny,AUD/CAD,SELL,0.9965,0.9999,0.9897,6,6,D,D,2.0,2,caution,6.5,OPEN,2026-09-08 11:20:07,,,,,
27,2026-09-09,london,AUD/CHF,SELL,0.5836,0.5873,0.5762,7,7,F,F,2.0,2,caution,6.5,OPEN,2026-09-08 12:18:20,,,,,
28,2026-09-09,london,USD/JPY,BUY,156.197,155.311,157.969,7,7,B,B,2.0,2,caution,6.5,OPEN,2026-09-08 12:18:20,,,,,
29,2026-09-09,london,EUR/AUD,BUY,1.6116,1.6038,1.6272,8,8,C,B,2.0,3,caution,6.5,OPEN,2026-09-08 12:18:20,,,,,
30,2026-09-09,london,AUD/CAD,SELL,0.99778,1.00398,0.98538,6,6,D,D,2.0,2,caution,6.5,OPEN,2026-09-08 12:18:20,,,,,
31,2026-09-09,london,AUD/NZD,SELL,1.225,1.2364,1.2022,8,8,C,B,2.0,3,caution,6.5,OPEN,2026-09-08 12:18:20,,,,,
32,2026-09-09,full,GBP/JPY,BUY,211.141,209.721,213.981,7,7,D,C,2.0,2,caution,6.5,OPEN,2026-09-08 18:22:24,,,,,
33,2026-09-09,full,AUD/USD,SELL,0.722,0.7312,0.7036,7,8,F,D,2.0,2,caution,6.5,OPEN,2026-09-08 18:22:24,,,,,
