pair,date,direction,bucket,ribbon_status,rib_against,rib_strongly_against,w_d_conflict,w_sig,d_sig,status,gross_pips,net_pips,days_held
EUR/USD,2023-09-19,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-75.0,-78.6,3.0
EUR/USD,2023-09-19,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,44.2,45.0,6.0
EUR/USD,2023-09-20,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-70.0,-74.6,5.0
EUR/USD,2023-09-20,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,90.4,91.2,6.0
EUR/USD,2023-09-21,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-70.0,-74.1,4.0
EUR/USD,2023-09-21,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,WIN,140.0,140.8,6.0
EUR/USD,2023-09-22,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-70.0,-73.6,3.0
EUR/USD,2023-09-22,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,WIN,140.0,140.3,5.0
EUR/USD,2023-09-25,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-70.0,-72.6,1.0
EUR/USD,2023-09-25,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,WIN,140.0,139.3,3.0
EUR/USD,2023-09-26,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-70.0,-72.6,1.0
EUR/USD,2023-09-26,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,26.4,27.2,6.0
EUR/USD,2023-09-27,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-75.0,-77.6,1.0
EUR/USD,2023-09-27,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,88.7,89.5,6.0
EUR/USD,2023-09-28,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,EXPIRED,-33.0,-38.1,6.0
EUR/USD,2023-09-28,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,LOSS,-75.0,-76.7,1.0
EUR/USD,2023-09-29,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-75.0,-79.1,4.0
EUR/USD,2023-09-29,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,55.4,56.1,6.0
EUR/USD,2023-10-02,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,LOSS,-80.0,-82.6,1.0
EUR/USD,2023-10-02,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,18.6,18.4,4.0
EUR/USD,2023-10-03,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,EXPIRED,86.7,81.7,6.0
EUR/USD,2023-10-03,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,LOSS,-80.0,-80.7,3.0
EUR/USD,2023-10-04,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,EXPIRED,106.6,101.5,6.0
EUR/USD,2023-10-04,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,LOSS,-80.0,-81.2,2.0
EUR/USD,2023-10-05,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,EXPIRED,97.7,92.7,6.0
EUR/USD,2023-10-05,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,LOSS,-80.0,-81.7,1.0
EUR/USD,2023-10-06,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,NEUTRAL,EXPIRED,77.7,72.6,6.0
EUR/USD,2023-10-06,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-79.7,5.0
EUR/USD,2023-10-09,BUY,would_F,ALIGNED_BEAR,True,True,False,NEUTRAL,BUY,EXPIRED,-30.7,-34.8,4.0
EUR/USD,2023-10-09,SELL,clean,ALIGNED_BEAR,False,False,False,NEUTRAL,BUY,EXPIRED,30.7,30.5,4.0
EUR/USD,2023-10-10,BUY,clean,CONVERGING,False,False,False,NEUTRAL,BUY,LOSS,-80.0,-83.6,3.0
EUR/USD,2023-10-10,SELL,clean,CONVERGING,False,False,False,NEUTRAL,BUY,EXPIRED,57.3,58.1,6.0
EUR/USD,2023-10-11,BUY,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,LOSS,-75.0,-78.1,2.0
EUR/USD,2023-10-11,SELL,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,EXPIRED,50.5,51.3,6.0
EUR/USD,2023-10-12,BUY,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-82.6,1.0
EUR/USD,2023-10-12,SELL,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,EXPIRED,51.2,52.0,6.0
EUR/USD,2023-10-13,BUY,clean,CONVERGING,False,False,False,NEUTRAL,BUY,EXPIRED,1.8,-3.3,6.0
EUR/USD,2023-10-13,SELL,clean,CONVERGING,False,False,False,NEUTRAL,BUY,EXPIRED,-1.8,-1.0,6.0
EUR/USD,2023-10-16,BUY,clean,CONVERGING,False,False,False,NEUTRAL,BUY,EXPIRED,64.9,60.8,4.0
EUR/USD,2023-10-16,SELL,clean,CONVERGING,False,False,False,NEUTRAL,BUY,EXPIRED,-64.9,-65.1,4.0
EUR/USD,2023-10-17,BUY,clean,CONVERGING,False,False,False,NEUTRAL,BUY,EXPIRED,35.7,30.6,6.0
EUR/USD,2023-10-17,SELL,clean,CONVERGING,False,False,False,NEUTRAL,BUY,LOSS,-80.0,-79.2,6.0
EUR/USD,2023-10-18,BUY,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,EXPIRED,96.8,91.7,6.0
EUR/USD,2023-10-18,SELL,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-79.2,6.0
EUR/USD,2023-10-19,BUY,clean,CONVERGING,False,False,False,NEUTRAL,BUY,WIN,150.0,145.4,5.0
EUR/USD,2023-10-19,SELL,clean,CONVERGING,False,False,False,NEUTRAL,BUY,LOSS,-75.0,-75.2,4.0
EUR/USD,2023-10-20,BUY,clean,CONVERGING,False,False,False,BUY,NEUTRAL,EXPIRED,-19.2,-24.3,6.0
EUR/USD,2023-10-20,SELL,clean,CONVERGING,False,False,False,BUY,NEUTRAL,LOSS,-75.0,-75.2,4.0
EUR/USD,2023-10-23,BUY,clean,CONVERGING,False,False,False,BUY,NEUTRAL,EXPIRED,-25.5,-29.6,4.0
EUR/USD,2023-10-23,SELL,clean,CONVERGING,False,False,False,BUY,NEUTRAL,LOSS,-75.0,-76.7,1.0
EUR/USD,2023-10-24,BUY,would_F,LEANING_BEAR,True,False,True,BUY,SELL,LOSS,-80.0,-82.6,1.0
EUR/USD,2023-10-24,SELL,would_F,LEANING_BEAR,False,False,True,BUY,SELL,EXPIRED,107.4,108.2,6.0
EUR/USD,2023-10-25,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,BUY,NEUTRAL,EXPIRED,19.7,14.6,6.0
EUR/USD,2023-10-25,SELL,clean,LEANING_BEAR,False,False,False,BUY,NEUTRAL,EXPIRED,-19.7,-18.9,6.0
EUR/USD,2023-10-26,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,BUY,NEUTRAL,EXPIRED,11.8,6.8,6.0
EUR/USD,2023-10-26,SELL,clean,LEANING_BEAR,False,False,False,BUY,NEUTRAL,LOSS,-80.0,-79.7,5.0
EUR/USD,2023-10-27,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,NEUTRAL,EXPIRED,22.6,17.5,6.0
EUR/USD,2023-10-27,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,NEUTRAL,LOSS,-75.0,-75.2,4.0
EUR/USD,2023-10-30,BUY,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,WIN,150.0,145.9,4.0
EUR/USD,2023-10-30,SELL,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,LOSS,-75.0,-76.7,1.0
EUR/USD,2023-10-31,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-82.6,1.0
EUR/USD,2023-10-31,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-80.7,3.0
EUR/USD,2023-11-01,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,NEUTRAL,WIN,160.0,155.4,5.0
EUR/USD,2023-11-01,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-81.7,1.0
EUR/USD,2023-11-02,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,NEUTRAL,NEUTRAL,WIN,160.0,155.9,4.0
EUR/USD,2023-11-02,SELL,clean,LEANING_BEAR,False,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-81.7,1.0
EUR/USD,2023-11-03,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,BUY,NEUTRAL,EXPIRED,91.3,86.2,6.0
EUR/USD,2023-11-03,SELL,clean,LEANING_BEAR,False,False,False,BUY,NEUTRAL,LOSS,-85.0,-85.7,3.0
EUR/USD,2023-11-06,BUY,would_F,NEUTRAL,False,False,True,BUY,SELL,EXPIRED,-64.6,-68.7,4.0
EUR/USD,2023-11-06,SELL,would_F,NEUTRAL,False,False,True,BUY,SELL,EXPIRED,64.6,64.4,4.0
EUR/USD,2023-11-07,BUY,would_F,NEUTRAL,False,False,True,BUY,SELL,EXPIRED,-31.4,-36.5,6.0
EUR/USD,2023-11-07,SELL,would_F,NEUTRAL,False,False,True,BUY,SELL,EXPIRED,31.4,32.2,6.0
EUR/USD,2023-11-08,BUY,clean,NEUTRAL,False,False,False,BUY,NEUTRAL,WIN,170.0,164.9,6.0
EUR/USD,2023-11-08,SELL,clean,NEUTRAL,False,False,False,BUY,NEUTRAL,LOSS,-85.0,-84.2,6.0
EUR/USD,2023-11-09,BUY,clean,NEUTRAL,False,False,False,BUY,NEUTRAL,WIN,170.0,164.9,6.0
EUR/USD,2023-11-09,SELL,clean,NEUTRAL,False,False,False,BUY,NEUTRAL,LOSS,-85.0,-84.7,5.0
EUR/USD,2023-11-10,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,NEUTRAL,WIN,160.0,155.9,4.0
EUR/USD,2023-11-10,SELL,clean,NEUTRAL,False,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-80.2,4.0
EUR/USD,2023-11-13,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,WIN,160.0,157.4,1.0
EUR/USD,2023-11-13,SELL,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,LOSS,-80.0,-81.7,1.0
EUR/USD,2023-11-14,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,WIN,170.0,167.4,1.0
EUR/USD,2023-11-14,SELL,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,LOSS,-85.0,-86.7,1.0
EUR/USD,2023-11-15,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,EXPIRED,67.6,62.5,6.0
EUR/USD,2023-11-15,SELL,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,EXPIRED,-67.6,-66.8,6.0
EUR/USD,2023-11-16,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,EXPIRED,63.6,58.5,6.0
EUR/USD,2023-11-16,SELL,clean,NEUTRAL,False,False,False,NEUTRAL,SELL,LOSS,-90.0,-90.1,4.0
EUR/USD,2023-11-17,BUY,clean,NEUTRAL,False,False,False,SELL,SELL,EXPIRED,37.1,32.0,6.0
EUR/USD,2023-11-17,SELL,clean,NEUTRAL,False,False,False,SELL,SELL,LOSS,-90.0,-90.6,3.0
EUR/USD,2023-11-20,BUY,clean,NEUTRAL,False,False,False,SELL,SELL,EXPIRED,-0.7,-4.9,4.0
EUR/USD,2023-11-20,SELL,clean,NEUTRAL,False,False,False,SELL,SELL,EXPIRED,0.7,0.6,4.0
EUR/USD,2023-11-21,BUY,clean,NEUTRAL,False,False,False,SELL,SELL,LOSS,-85.0,-87.6,1.0
EUR/USD,2023-11-21,SELL,clean,NEUTRAL,False,False,False,SELL,SELL,EXPIRED,5.5,6.4,6.0
EUR/USD,2023-11-22,BUY,clean,LEANING_BULL,False,False,False,SELL,SELL,EXPIRED,40.2,35.0,6.0
EUR/USD,2023-11-22,SELL,would_D_ribbon,LEANING_BULL,True,False,False,SELL,SELL,LOSS,-85.0,-84.1,6.0
EUR/USD,2023-11-23,BUY,clean,LEANING_BULL,False,False,False,SELL,SELL,EXPIRED,115.1,109.9,6.0
EUR/USD,2023-11-23,SELL,would_D_ribbon,LEANING_BULL,True,False,False,SELL,SELL,LOSS,-85.0,-84.6,5.0
EUR/USD,2023-11-24,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,SELL,EXPIRED,67.4,62.2,6.0
EUR/USD,2023-11-24,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,SELL,LOSS,-80.0,-80.1,4.0
EUR/USD,2023-11-27,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,SELL,LOSS,-80.0,-84.2,4.0
EUR/USD,2023-11-27,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,SELL,EXPIRED,48.4,48.2,4.0
EUR/USD,2023-11-28,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,SELL,LOSS,-80.0,-83.7,3.0
EUR/USD,2023-11-28,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,SELL,EXPIRED,70.3,71.2,6.0
EUR/USD,2023-11-29,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,SELL,LOSS,-80.0,-82.7,1.0
EUR/USD,2023-11-29,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,SELL,WIN,160.0,158.9,2.0
EUR/USD,2023-11-30,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,SELL,LOSS,-80.0,-82.7,1.0
EUR/USD,2023-11-30,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,SELL,WIN,160.0,159.9,4.0
EUR/USD,2023-12-01,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,LOSS,-85.0,-88.6,3.0
EUR/USD,2023-12-01,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,EXPIRED,125.4,126.2,6.0
EUR/USD,2023-12-04,BUY,clean,ALIGNED_BULL,False,False,False,NEUTRAL,SELL,LOSS,-85.0,-87.6,1.0
EUR/USD,2023-12-04,SELL,would_F,ALIGNED_BULL,True,True,False,NEUTRAL,SELL,EXPIRED,96.0,95.9,4.0
EUR/USD,2023-12-05,BUY,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,LOSS,-85.0,-88.6,3.0
EUR/USD,2023-12-05,SELL,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,EXPIRED,72.0,72.8,6.0
EUR/USD,2023-12-06,BUY,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,EXPIRED,-27.1,-32.2,6.0
EUR/USD,2023-12-06,SELL,clean,CONVERGING,False,False,False,NEUTRAL,NEUTRAL,EXPIRED,27.1,27.9,6.0
EUR/USD,2023-12-07,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,BUY,EXPIRED,32.0,26.9,6.0
EUR/USD,2023-12-07,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,BUY,EXPIRED,-32.0,-31.2,6.0
EUR/USD,2023-12-08,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,WIN,160.0,154.9,6.0
EUR/USD,2023-12-08,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-79.2,6.0
EUR/USD,2023-12-11,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,WIN,160.0,156.4,3.0
EUR/USD,2023-12-11,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,LOSS,-80.0,-80.7,3.0
EUR/USD,2023-12-12,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,WIN,150.0,146.9,2.0
EUR/USD,2023-12-12,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,LOSS,-75.0,-76.2,2.0
EUR/USD,2023-12-13,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,WIN,150.0,147.3,1.0
EUR/USD,2023-12-13,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,LOSS,-75.0,-76.7,1.0
EUR/USD,2023-12-14,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,SELL,EXPIRED,94.9,89.8,6.0
EUR/USD,2023-12-14,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,SELL,LOSS,-85.0,-86.6,1.0
EUR/USD,2023-12-15,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,LOSS,-85.0,-88.7,3.0
EUR/USD,2023-12-15,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,EXPIRED,47.9,48.8,6.0
EUR/USD,2023-12-18,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,EXPIRED,110.9,106.8,4.0
EUR/USD,2023-12-18,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,LOSS,-85.0,-86.6,1.0
EUR/USD,2023-12-19,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,EXPIRED,102.7,97.6,6.0
EUR/USD,2023-12-19,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,LOSS,-90.0,-90.6,3.0
EUR/USD,2023-12-20,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,EXPIRED,39.2,34.0,6.0
EUR/USD,2023-12-20,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,EXPIRED,-39.2,-38.3,6.0
EUR/USD,2023-12-21,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,WIN,170.0,164.8,6.0
EUR/USD,2023-12-21,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,LOSS,-85.0,-86.6,1.0
EUR/USD,2023-12-22,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,EXPIRED,102.5,97.3,6.0
EUR/USD,2023-12-22,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,LOSS,-85.0,-84.6,5.0
EUR/USD,2023-12-25,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,EXPIRED,41.6,37.4,4.0
EUR/USD,2023-12-25,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,LOSS,-80.0,-81.1,2.0
EUR/USD,2023-12-26,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,EXPIRED,35.6,30.4,6.0
EUR/USD,2023-12-26,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,LOSS,-80.0,-81.6,1.0
EUR/USD,2023-12-27,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,LOSS,-80.0,-85.2,6.0
EUR/USD,2023-12-27,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,LOSS,-80.0,-81.6,1.0
EUR/USD,2023-12-28,BUY,clean,ALIGNED_BULL,False,False,False,SELL,SELL,LOSS,-80.0,-84.7,5.0
EUR/USD,2023-12-28,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,SELL,WIN,160.0,160.4,5.0
EUR/USD,2023-12-29,BUY,clean,ALIGNED_BULL,False,False,False,SELL,NEUTRAL,LOSS,-80.0,-84.2,4.0
EUR/USD,2023-12-29,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,NEUTRAL,WIN,160.0,160.4,5.0
EUR/USD,2024-01-01,BUY,clean,ALIGNED_BULL,False,False,False,SELL,NEUTRAL,LOSS,-75.0,-77.7,1.0
EUR/USD,2024-01-01,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,NEUTRAL,WIN,150.0,148.9,2.0
EUR/USD,2024-01-02,BUY,clean,ALIGNED_BULL,False,False,False,SELL,NEUTRAL,LOSS,-80.0,-82.7,1.0
EUR/USD,2024-01-02,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,NEUTRAL,EXPIRED,96.5,97.4,6.0
EUR/USD,2024-01-03,BUY,clean,ALIGNED_BULL,False,False,False,SELL,NEUTRAL,EXPIRED,9.9,4.8,6.0
EUR/USD,2024-01-03,SELL,would_F,ALIGNED_BULL,True,True,False,SELL,NEUTRAL,EXPIRED,-9.9,-9.1,6.0
EUR/USD,2024-01-04,BUY,clean,CONVERGING,False,False,False,SELL,NEUTRAL,EXPIRED,4.7,-0.5,6.0
EUR/USD,2024-01-04,SELL,clean,CONVERGING,False,False,False,SELL,NEUTRAL,EXPIRED,-4.7,-3.8,6.0
EUR/USD,2024-01-05,BUY,clean,CONVERGING,False,False,False,SELL,NEUTRAL,EXPIRED,27.8,22.6,6.0
EUR/USD,2024-01-05,SELL,clean,CONVERGING,False,False,False,SELL,NEUTRAL,EXPIRED,-27.8,-26.9,6.0
EUR/USD,2024-01-08,BUY,clean,LEANING_BULL,False,False,False,SELL,NEUTRAL,EXPIRED,39.4,35.3,4.0
EUR/USD,2024-01-08,SELL,would_D_ribbon,LEANING_BULL,True,False,False,SELL,NEUTRAL,EXPIRED,-39.4,-39.6,4.0
EUR/USD,2024-01-09,BUY,clean,LEANING_BULL,False,False,False,SELL,NEUTRAL,EXPIRED,-6.0,-11.2,6.0
EUR/USD,2024-01-09,SELL,would_D_ribbon,LEANING_BULL,True,False,False,SELL,NEUTRAL,EXPIRED,6.0,6.9,6.0
EUR/USD,2024-01-10,BUY,clean,LEANING_BULL,False,False,False,SELL,NEUTRAL,EXPIRED,13.3,8.1,6.0
EUR/USD,2024-01-10,SELL,would_D_ribbon,LEANING_BULL,True,False,False,SELL,NEUTRAL,EXPIRED,-13.3,-12.4,6.0
EUR/USD,2024-01-11,BUY,clean,LEANING_BULL,False,False,False,SELL,NEUTRAL,LOSS,-75.0,-79.7,5.0
EUR/USD,2024-01-11,SELL,would_D_ribbon,LEANING_BULL,True,False,False,SELL,NEUTRAL,EXPIRED,96.4,97.2,6.0
EUR/USD,2024-01-12,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,LOSS,-75.0,-79.2,4.0
EUR/USD,2024-01-12,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,EXPIRED,95.9,96.8,6.0
EUR/USD,2024-01-15,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,LOSS,-70.0,-72.6,1.0
EUR/USD,2024-01-15,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,EXPIRED,66.6,66.4,4.0
EUR/USD,2024-01-16,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,NEUTRAL,LOSS,-75.0,-77.7,1.0
EUR/USD,2024-01-16,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,NEUTRAL,EXPIRED,53.4,54.3,6.0
EUR/USD,2024-01-17,BUY,clean,LEANING_BULL,False,False,False,NEUTRAL,BUY,EXPIRED,1.4,-3.7,6.0
EUR/USD,2024-01-17,SELL,would_D_ribbon,LEANING_BULL,True,False,False,NEUTRAL,BUY,EXPIRED,-1.4,-0.6,6.0
EUR/USD,2024-01-18,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,BUY,EXPIRED,-27.9,-33.1,6.0
EUR/USD,2024-01-18,SELL,clean,NEUTRAL,False,False,False,NEUTRAL,BUY,EXPIRED,27.9,28.8,6.0
EUR/USD,2024-01-19,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,BUY,EXPIRED,2.6,-2.5,6.0
EUR/USD,2024-01-19,SELL,clean,NEUTRAL,False,False,False,NEUTRAL,BUY,EXPIRED,-2.6,-1.8,6.0
EUR/USD,2024-01-22,BUY,clean,NEUTRAL,False,False,False,NEUTRAL,BUY,LOSS,-65.0,-67.6,1.0
